Tue Apr 23 23:26:16 BDT 2013,10000,50,0.5,20000,521397,
Tue Apr 23 23:26:30 BDT 2013,10000,50,0.5,20000,589833,
Tue Apr 23 23:27:54 BDT 2013,1000,20,0.5,2000,1331,
Tue Apr 23 23:28:16 BDT 2013,1000,20,0.5,2000,12470,
Tue Apr 23 23:28:18 BDT 2013,1000,20,0.5,2000,5915,
Tue Apr 23 23:28:19 BDT 2013,1000,20,0.5,2000,10806,
Tue Apr 23 23:28:20 BDT 2013,1000,20,0.5,2000,9173,
Tue Apr 23 23:28:21 BDT 2013,1000,20,0.5,2000,794,
Tue Apr 23 23:28:22 BDT 2013,1000,20,0.5,2000,-2036,
Tue Apr 23 23:28:24 BDT 2013,1000,20,0.5,2000,5996,
Tue Apr 23 23:28:25 BDT 2013,1000,20,0.5,2000,142,
Tue Apr 23 23:28:26 BDT 2013,1000,20,0.5,2000,731,
Tue Apr 23 23:28:27 BDT 2013,1000,20,0.5,2000,10212,
Tue Apr 23 23:28:28 BDT 2013,1000,20,0.5,2000,13415,
Tue Apr 23 23:29:19 BDT 2013,1000,100,0.5,2000,45694,
Tue Apr 23 23:29:21 BDT 2013,1000,100,0.5,2000,64893,
Tue Apr 23 23:29:22 BDT 2013,1000,100,0.5,2000,44449,
Tue Apr 23 23:29:24 BDT 2013,1000,100,0.5,2000,20958,
Tue Apr 23 23:29:25 BDT 2013,1000,100,0.5,2000,40658,
Tue Apr 23 23:29:27 BDT 2013,1000,100,0.5,2000,38996,
Tue Apr 23 23:29:28 BDT 2013,1000,100,0.5,2000,25378,
Tue Apr 23 23:29:30 BDT 2013,1000,100,0.5,2000,33132,
Tue Apr 23 23:29:32 BDT 2013,1000,100,0.5,2000,20554,
Tue Apr 23 23:29:32 BDT 2013,1000,100,0.5,2000,19150,
Tue Apr 23 23:29:33 BDT 2013,1000,100,0.5,2000,59354,
Tue Apr 23 23:29:35 BDT 2013,1000,100,0.5,2000,37656,
Tue Apr 23 23:30:53 BDT 2013,1000,200,0.5,2000,35928,
Tue Apr 23 23:30:55 BDT 2013,1000,200,0.5,2000,10493,
Tue Apr 23 23:30:57 BDT 2013,1000,200,0.5,2000,8354,
Tue Apr 23 23:30:59 BDT 2013,1000,200,0.5,2000,37833,
Tue Apr 23 23:31:01 BDT 2013,1000,200,0.5,2000,63640,
Tue Apr 23 23:31:03 BDT 2013,1000,200,0.5,2000,48634,
Tue Apr 23 23:31:05 BDT 2013,1000,200,0.5,2000,42377,
Tue Apr 23 23:31:07 BDT 2013,1000,200,0.5,2000,5599,
Tue Apr 23 23:31:09 BDT 2013,1000,200,0.5,2000,44555,
Tue Apr 23 23:31:11 BDT 2013,1000,200,0.5,2000,48558,
Tue Apr 23 23:31:12 BDT 2013,1000,200,0.5,2000,6821,
Tue Apr 23 23:31:14 BDT 2013,1000,200,0.5,2000,39631,
Tue Apr 23 23:31:16 BDT 2013,1000,200,0.5,2000,26042,
Tue Apr 23 23:31:18 BDT 2013,1000,200,0.5,2000,40107,
Tue Apr 23 23:31:57 BDT 2013,1000,400,0.5,2000,116425,
Tue Apr 23 23:32:00 BDT 2013,1000,400,0.5,2000,90748,
Tue Apr 23 23:32:03 BDT 2013,1000,400,0.5,2000,68049,
Tue Apr 23 23:32:06 BDT 2013,1000,400,0.5,2000,51987,
Tue Apr 23 23:32:09 BDT 2013,1000,400,0.5,2000,101554,
Tue Apr 23 23:32:12 BDT 2013,1000,400,0.5,2000,34129,
Tue Apr 23 23:32:15 BDT 2013,1000,400,0.5,2000,39378,
Tue Apr 23 23:32:18 BDT 2013,1000,400,0.5,2000,109959,
Tue Apr 23 23:32:21 BDT 2013,1000,400,0.5,2000,48815,
Tue Apr 23 23:32:24 BDT 2013,1000,400,0.5,2000,51434,
Tue Apr 23 23:32:27 BDT 2013,1000,400,0.5,2000,87916,
Tue Apr 23 23:32:30 BDT 2013,1000,400,0.5,2000,82480,
Tue Apr 23 23:34:03 BDT 2013,1000,400,0.1,2000,1001573,
Tue Apr 23 23:34:15 BDT 2013,1000,400,0.1,2000,1145942,
Tue Apr 23 23:34:20 BDT 2013,1000,400,0.1,2000,980398,
Tue Apr 23 23:34:24 BDT 2013,1000,400,0.1,2000,1075128,
Tue Apr 23 23:34:28 BDT 2013,1000,400,0.1,2000,1085043,
Tue Apr 23 23:34:33 BDT 2013,1000,400,0.1,2000,1086955,
Tue Apr 23 23:34:37 BDT 2013,1000,400,0.1,2000,1235993,
